timestamp,voltage_v,frequency_hz
2026-08-04T19:55:00.637771,230.0,50.0
2026-08-04T19:55:04.872268,230.0,50.0
2026-08-04T19:55:09.091423,230.0,50.0
2026-08-04T19:55:13.378593,230.0,50.0
2026-08-04T19:55:17.609629,230.0,50.0
2026-08-04T19:55:21.871057,230.0,50.0
2026-08-04T19:55:26.138803,230.0,50.0
2026-08-04T19:55:30.377410,230.0,50.0
2026-08-04T19:55:34.590486,230.0,50.0
2026-08-04T19:55:38.812086,230.0,50.0
2026-08-04T19:55:43.114341,230.0,50.0
2026-08-04T19:55:47.325704,230.0,50.0
2026-08-04T19:55:51.555984,230.0,50.0
2026-08-04T19:55:55.847172,230.0,50.0
2026-08-04T19:56:00.107833,230.0,50.0
2026-08-04T19:56:04.447494,230.0,50.0
2026-08-04T19:56:08.804716,230.0,50.0
2026-08-04T19:56:13.137967,230.0,50.0
2026-08-04T19:56:17.401735,230.0,50.0
2026-08-04T19:56:21.662407,230.0,50.0
2026-08-04T19:56:25.922708,230.0,50.0
2026-08-04T19:56:30.265512,230.0,50.0
2026-08-04T19:56:34.521697,230.0,50.0
2026-08-04T19:56:38.801190,230.0,50.0
2026-08-04T19:56:43.127063,230.0,50.0
2026-08-04T19:56:47.366391,230.0,50.0
2026-08-04T19:56:51.619850,230.0,50.0
2026-08-04T19:56:55.979444,230.0,50.0
2026-08-04T19:57:00.374706,230.0,50.0
2026-08-04T19:57:04.694074,230.0,50.0
2026-08-04T19:57:08.922176,230.0,50.0
2026-08-04T19:57:13.288204,230.0,50.0
2026-08-04T19:57:17.544858,230.0,50.0
2026-08-04T19:57:21.764252,230.0,50.0
2026-08-04T19:57:26.016242,230.0,50.0
2026-08-04T19:57:30.282339,230.0,50.0
2026-08-04T19:57:34.539719,230.0,50.0
2026-08-04T19:57:38.764894,230.0,50.0
2026-08-04T19:57:43.241079,230.0,50.0
2026-08-04T19:57:47.504597,230.0,50.0
2026-08-04T19:57:51.788230,230.0,50.0
2026-08-04T19:57:56.038097,230.0,50.0
2026-08-04T19:58:00.361656,230.0,50.0
2026-08-04T19:58:04.851048,230.0,50.0
2026-08-04T19:58:09.103294,230.0,50.0
2026-08-04T19:58:13.383370,230.0,50.0
2026-08-04T19:58:17.609691,230.0,50.0
2026-08-04T19:58:21.842870,230.0,50.0
2026-08-04T19:58:26.089613,230.0,50.0
2026-08-04T19:58:30.362425,230.0,50.0
2026-08-04T19:58:34.610667,230.0,50.0
2026-08-04T19:58:38.851036,230.0,50.0
2026-08-04T19:58:43.110047,230.0,50.0
2026-08-04T19:58:47.354769,230.0,50.0
2026-08-04T19:58:51.572979,230.0,50.0
2026-08-04T19:58:55.843900,230.0,50.0
2026-08-04T19:59:00.098668,230.0,50.0
2026-08-04T19:59:04.358335,230.0,50.0
2026-08-04T19:59:08.707763,230.0,50.0
2026-08-04T19:59:12.970704,230.0,50.0
2026-08-04T19:59:17.208604,230.0,50.0
2026-08-04T19:59:21.465191,230.0,50.0
2026-08-04T19:59:25.716593,230.0,50.0
2026-08-04T19:59:29.968001,230.0,50.0
2026-08-04T19:59:34.222300,230.0,50.0
2026-08-04T19:59:38.503887,230.0,50.0
2026-08-04T19:59:42.782805,230.0,50.0
2026-08-04T19:59:47.006603,230.0,50.0
2026-08-04T19:59:51.241690,230.0,50.0
2026-08-04T19:59:55.521658,230.0,50.0
2026-08-04T19:59:59.782684,230.0,50.0
2026-08-04T20:00:04.028954,230.0,50.0
2026-08-04T20:00:08.314329,230.0,50.0
2026-08-04T20:00:12.679006,230.0,50.0
2026-08-04T20:00:16.938755,230.0,50.0
2026-08-04T20:00:21.174775,230.0,50.0
2026-08-04T20:00:25.458608,230.0,50.0
2026-08-04T20:00:29.721585,230.0,50.0
2026-08-04T20:00:33.966137,230.0,50.0
2026-08-04T20:00:38.235181,230.0,50.0
2026-08-04T20:00:42.474502,230.0,50.0
2026-08-04T20:00:46.730869,230.0,50.0
2026-08-04T20:00:50.968902,230.0,50.0
2026-08-04T20:00:55.217417,230.0,50.0
2026-08-04T20:00:59.462010,230.0,50.0
2026-08-04T20:01:03.690904,230.0,50.0
2026-08-04T20:01:07.949253,230.0,50.0
2026-08-04T20:01:12.298738,230.0,50.0
